sex,age_group,year,state,number_of_death
Male,65-69,2016,Penang,760
Male,30-34,2014,Pahang,153
Male,30-34,2014,Perak,190
Male,30-34,2014,Perlis,19
Male,30-34,2014,Sabah,217
Male,30-34,2014,Sarawak,142
Male,30-34,2014,Selangor,324
Male,30-34,2014,Terengganu,124
Male,30-34,2014,W.P. Kuala Lumpur,110
Male,70-74,2016,Penang,749
Male,30-34,2014,W.P. Putrajaya,5
Male,35-39,2014,Johor,321
Male,35-39,2014,Kedah,188
Male,35-39,2014,Kelantan,203
Male,35-39,2014,Melaka,62
Male,35-39,2014,Negeri Sembilan,112
Male,75-79,2016,Penang,705
Male,35-39,2014,Pahang,196
Male,35-39,2014,Perak,232
Male,35-39,2014,Perlis,18
Male,35-39,2014,Sabah,233
Male,35-39,2014,Sarawak,191
Male,35-39,2014,Selangor,423
Male,35-39,2014,Terengganu,139
Male,35-39,2014,W.P. Kuala Lumpur,105
Male,80-84,2016,Penang,586
Male,35-39,2014,W.P. Putrajaya,0
Male,40-44,2014,Johor,421
Male,40-44,2014,Kedah,250
Male,40-44,2014,Kelantan,246
Male,40-44,2014,Melaka,90
Male,40-44,2014,Negeri Sembilan,151
Male,85 +,2016,Penang,483
Male,40-44,2014,Pahang,235
Male,40-44,2014,Perak,328
Male,40-44,2014,Perlis,19
Male,40-44,2014,Sabah,282
Male,40-44,2014,Sarawak,265
Male,40-44,2014,Selangor,544
Male,40-44,2014,Terengganu,141
Male,40-44,2014,W.P. Kuala Lumpur,159
Female,Under 1 year,2016,Penang,69
Male,40-44,2014,W.P. Putrajaya,4
Male,45-49,2014,Johor,581
Male,45-49,2014,Kedah,388
Male,45-49,2014,Kelantan,287
Male,45-49,2014,Melaka,137
Male,45-49,2014,Negeri Sembilan,189
Female,1-4,2016,Penang,15
Male,45-49,2014,Pahang,249
Male,45-49,2014,Perak,461
Male,45-49,2014,Perlis,42
Male,45-49,2014,Sabah,435
Male,45-49,2014,Sarawak,357
Male,45-49,2014,Selangor,806
Male,45-49,2014,Terengganu,190
Male,45-49,2014,W.P. Kuala Lumpur,229
Female,5-9,2016,Penang,6
Male,45-49,2014,W.P. Putrajaya,7
Male,50-54,2014,Johor,776
Male,50-54,2014,Kedah,545
Male,50-54,2014,Kelantan,377
Male,50-54,2014,Melaka,193
Male,50-54,2014,Negeri Sembilan,263
Female,10-14,2016,Penang,14
Male,50-54,2014,Pahang,386
Male,50-54,2014,Perak,623
Male,50-54,2014,Perlis,61
Male,50-54,2014,Sabah,577
Male,50-54,2014,Sarawak,416
Male,50-54,2014,Selangor,1081
Male,50-54,2014,Terengganu,248
Male,50-54,2014,W.P. Kuala Lumpur,343
Female,15-19,2016,Penang,24
Male,50-54,2014,W.P. Putrajaya,9
Male,55-59,2014,Johor,1041
Male,55-59,2014,Kedah,686
Male,55-59,2014,Kelantan,472
Male,55-59,2014,Melaka,276
Male,55-59,2014,Negeri Sembilan,361
Female,20-24,2016,Penang,27
Male,55-59,2014,Pahang,464
Male,55-59,2014,Perak,868
Male,55-59,2014,Perlis,68
Male,55-59,2014,Sabah,660
Male,55-59,2014,Sarawak,514
Male,55-59,2014,Selangor,1387
Male,55-59,2014,Terengganu,320
Male,55-59,2014,W.P. Kuala Lumpur,499
Female,25-29,2016,Penang,33
Male,55-59,2014,W.P. Putrajaya,9
Male,60-64,2014,Johor,1177
Male,60-64,2014,Kedah,796
Male,60-64,2014,Kelantan,585
Male,60-64,2014,Melaka,292
Male,60-64,2014,Negeri Sembilan,404
Female,30-34,2016,Penang,43
Male,60-64,2014,Pahang,521
Male,60-64,2014,Perak,977
Male,60-64,2014,Perlis,101
Male,60-64,2014,Sabah,593
Male,60-64,2014,Sarawak,625
Male,60-64,2014,Selangor,1354
Male,60-64,2014,Terengganu,376
Male,60-64,2014,W.P. Kuala Lumpur,495
Female,35-39,2016,Penang,65
Male,60-64,2014,W.P. Putrajaya,10
Male,65-69,2014,Johor,1181
Male,65-69,2014,Kedah,811
Male,65-69,2014,Kelantan,692
Male,65-69,2014,Melaka,309
Male,65-69,2014,Negeri Sembilan,397
Female,40-44,2016,Penang,81
Male,65-69,2014,Pahang,633
Male,65-69,2014,Perak,1146
Male,65-69,2014,Perlis,102
Male,65-69,2014,Sabah,691
Male,65-69,2014,Sarawak,764
Male,65-69,2014,Selangor,1495
Male,65-69,2014,Terengganu,394
Male,65-69,2014,W.P. Kuala Lumpur,555
Female,45-49,2016,Penang,131
Male,65-69,2014,W.P. Putrajaya,8
Male,70-74,2014,Johor,1150
Male,70-74,2014,Kedah,823
Male,70-74,2014,Kelantan,634
Male,70-74,2014,Melaka,320
Male,70-74,2014,Negeri Sembilan,375
Female,50-54,2016,Penang,200
Male,70-74,2014,Pahang,567
Male,70-74,2014,Perak,1131
Male,70-74,2014,Perlis,126
Male,70-74,2014,Sabah,837
Male,70-74,2014,Sarawak,832
Male,70-74,2014,Selangor,1293
Male,70-74,2014,Terengganu,372
Male,70-74,2014,W.P. Kuala Lumpur,492
Female,55-59,2016,Penang,289
Male,70-74,2014,W.P. Putrajaya,9
Male,75-79,2014,Johor,1170
Male,75-79,2014,Kedah,935
Male,75-79,2014,Kelantan,693
Male,75-79,2014,Melaka,308
Male,75-79,2014,Negeri Sembilan,441
Female,60-64,2016,Penang,374
Male,75-79,2014,Pahang,594
Male,75-79,2014,Perak,1219
Male,75-79,2014,Perlis,115
Male,75-79,2014,Sabah,794
Male,75-79,2014,Sarawak,730
Male,75-79,2014,Selangor,1394
Male,75-79,2014,Terengganu,430
Male,75-79,2014,W.P. Kuala Lumpur,503
Female,65-69,2016,Penang,498
Male,75-79,2014,W.P. Putrajaya,5
Male,80-84,2014,Johor,729
Male,80-84,2014,Kedah,612
Male,80-84,2014,Kelantan,405
Male,80-84,2014,Melaka,223
Male,80-84,2014,Negeri Sembilan,294
Female,70-74,2016,Penang,523
Male,80-84,2014,Pahang,295
Male,80-84,2014,Perak,802
Male,80-84,2014,Perlis,69
Male,80-84,2014,Sabah,558
Male,80-84,2014,Sarawak,565
Male,80-84,2014,Selangor,894
Male,80-84,2014,Terengganu,203
Male,80-84,2014,W.P. Kuala Lumpur,343
Female,75-79,2016,Penang,595
Male,80-84,2014,W.P. Putrajaya,6
Male,85 +,2014,Johor,730
Male,85 +,2014,Kedah,556
Male,85 +,2014,Kelantan,545
Male,85 +,2014,Melaka,197
Male,85 +,2014,Negeri Sembilan,232
Female,80-84,2016,Penang,650
Male,85 +,2014,Pahang,251
Male,85 +,2014,Perak,791
Male,85 +,2014,Perlis,93
Male,85 +,2014,Sabah,394
Male,85 +,2014,Sarawak,661
Male,85 +,2014,Selangor,782
Male,85 +,2014,Terengganu,243
Male,85 +,2014,W.P. Kuala Lumpur,339
Female,85 +,2016,Penang,929
Male,85 +,2014,W.P. Putrajaya,3
Female,Under 1 year,2014,Johor,155
Female,Under 1 year,2014,Kedah,93
Female,Under 1 year,2014,Kelantan,141
Female,Under 1 year,2014,Melaka,33
Female,Under 1 year,2014,Negeri Sembilan,55
Female,Under 1 year,2018,Penang,60
Female,Under 1 year,2014,Pahang,84
Female,Under 1 year,2014,Perak,93
Female,Under 1 year,2014,Perlis,8
Female,Under 1 year,2014,Sabah,281
Female,Under 1 year,2014,Sarawak,96
Female,Under 1 year,2014,Selangor,260
Female,Under 1 year,2014,Terengganu,95
Female,Under 1 year,2014,W.P. Kuala Lumpur,75
Female,1-4,2018,Penang,1
Female,Under 1 year,2014,W.P. Putrajaya,13
Female,1-4,2014,Johor,45
Female,1-4,2014,Kedah,30
Female,1-4,2014,Kelantan,29
Female,1-4,2014,Melaka,4
Female,1-4,2014,Negeri Sembilan,11
Female,1-4,2018,Penang,3
Female,1-4,2014,Pahang,24
Female,1-4,2014,Perak,28
Female,1-4,2014,Perlis,1
Female,1-4,2014,Sabah,86
Female,1-4,2014,Sarawak,31
Female,1-4,2014,Selangor,52
Female,1-4,2014,Terengganu,21
Female,1-4,2014,W.P. Kuala Lumpur,10
Female,1-4,2018,Penang,3
Female,1-4,2014,W.P. Putrajaya,3
Female,5-9,2014,Johor,23
Female,5-9,2014,Kedah,24
Female,5-9,2014,Kelantan,30
Female,5-9,2014,Melaka,6
Female,5-9,2014,Negeri Sembilan,7
Female,1-4,2018,Penang,4
Female,5-9,2014,Pahang,24
Female,5-9,2014,Perak,14
Female,5-9,2014,Perlis,2
Female,5-9,2014,Sabah,41
Female,5-9,2014,Sarawak,25
Female,5-9,2014,Selangor,39
Female,5-9,2014,Terengganu,8
Female,5-9,2014,W.P. Kuala Lumpur,10
Female,5-9,2018,Penang,13
Female,5-9,2014,W.P. Putrajaya,0
Female,10-14,2014,Johor,29
Female,10-14,2014,Kedah,19
Female,10-14,2014,Kelantan,30
Female,10-14,2014,Melaka,5
Female,10-14,2014,Negeri Sembilan,12
Female,10-14,2018,Penang,14
Female,10-14,2014,Pahang,20
Female,10-14,2014,Perak,28
Female,10-14,2014,Perlis,2
Female,10-14,2014,Sabah,36
Female,10-14,2014,Sarawak,25
Female,10-14,2014,Selangor,45
Female,10-14,2014,Terengganu,15
Female,10-14,2014,W.P. Kuala Lumpur,7
Female,15-19,2018,Penang,24
Female,10-14,2014,W.P. Putrajaya,1
Female,15-19,2014,Johor,50
Female,15-19,2014,Kedah,42
Female,15-19,2014,Kelantan,41
Female,15-19,2014,Melaka,13
Female,15-19,2014,Negeri Sembilan,24
Female,20-24,2018,Penang,21
Female,15-19,2014,Pahang,28
Female,15-19,2014,Perak,40
Female,15-19,2014,Perlis,3
Female,15-19,2014,Sabah,58
Female,15-19,2014,Sarawak,37
Female,15-19,2014,Selangor,64
Female,15-19,2014,Terengganu,14
Female,15-19,2014,W.P. Kuala Lumpur,23
Female,25-29,2018,Penang,33
Female,15-19,2014,W.P. Putrajaya,0
Female,20-24,2014,Johor,76
Female,20-24,2014,Kedah,54
Female,20-24,2014,Kelantan,27
Female,20-24,2014,Melaka,25
Female,20-24,2014,Negeri Sembilan,30
Female,30-34,2018,Penang,38
Female,20-24,2014,Pahang,31
Female,20-24,2014,Perak,56
Female,20-24,2014,Perlis,3
Female,20-24,2014,Sabah,73
Female,20-24,2014,Sarawak,40
Female,20-24,2014,Selangor,79
Female,20-24,2014,Terengganu,24
Female,20-24,2014,W.P. Kuala Lumpur,24
Female,35-39,2018,Penang,63
Female,20-24,2014,W.P. Putrajaya,4
Female,25-29,2014,Johor,83
Female,25-29,2014,Kedah,50
Female,25-29,2014,Kelantan,57
Female,25-29,2014,Melaka,26
Female,25-29,2014,Negeri Sembilan,30
Female,40-44,2018,Penang,81
Female,25-29,2014,Pahang,39
Female,25-29,2014,Perak,56
Female,25-29,2014,Perlis,6
Female,25-29,2014,Sabah,116
Female,25-29,2014,Sarawak,50
Female,25-29,2014,Selangor,110
Female,25-29,2014,Terengganu,35
Female,25-29,2014,W.P. Kuala Lumpur,25
Female,45-49,2018,Penang,154
Female,25-29,2014,W.P. Putrajaya,0
Female,30-34,2014,Johor,107
Female,30-34,2014,Kedah,61
Female,30-34,2014,Kelantan,53
Female,30-34,2014,Melaka,26
Female,30-34,2014,Negeri Sembilan,27
Female,50-54,2018,Penang,222
Female,30-34,2014,Pahang,46
Female,30-34,2014,Perak,79
Female,30-34,2014,Perlis,6
Female,30-34,2014,Sabah,126
Female,30-34,2014,Sarawak,66
Female,30-34,2014,Selangor,142
Female,30-34,2014,Terengganu,42
Female,30-34,2014,W.P. Kuala Lumpur,44
Female,55-59,2018,Penang,324
Female,30-34,2014,W.P. Putrajaya,7
Female,35-39,2014,Johor,158
Female,35-39,2014,Kedah,93
Female,35-39,2014,Kelantan,68
Female,35-39,2014,Melaka,27
Female,35-39,2014,Negeri Sembilan,51
Female,60-64,2018,Penang,446
Female,35-39,2014,Pahang,70
Female,35-39,2014,Perak,114
Female,35-39,2014,Perlis,9
Female,35-39,2014,Sabah,116
Female,35-39,2014,Sarawak,91
Female,35-39,2014,Selangor,187
Female,35-39,2014,Terengganu,48
Female,35-39,2014,W.P. Kuala Lumpur,50
Female,65-69,2018,Penang,530
Female,35-39,2014,W.P. Putrajaya,2
Female,40-44,2014,Johor,189
Female,40-44,2014,Kedah,129
Female,40-44,2014,Kelantan,100
Female,40-44,2014,Melaka,42
Female,40-44,2014,Negeri Sembilan,60
Female,70-74,2018,Penang,612
Female,40-44,2014,Pahang,85
Female,40-44,2014,Perak,129
Female,40-44,2014,Perlis,20
Female,40-44,2014,Sabah,211
Female,40-44,2014,Sarawak,128
Female,40-44,2014,Selangor,228
Female,40-44,2014,Terengganu,82
Female,40-44,2014,W.P. Kuala Lumpur,76
Female,75-79,2018,Penang,658
Female,40-44,2014,W.P. Putrajaya,4
Female,45-49,2014,Johor,301
Female,45-49,2014,Kedah,197
Female,45-49,2014,Kelantan,152
Female,45-49,2014,Melaka,82
Female,45-49,2014,Negeri Sembilan,90
Female,80-84,2018,Penang,640
Female,45-49,2014,Pahang,129
Female,45-49,2014,Perak,218
Female,45-49,2014,Perlis,22
Female,45-49,2014,Sabah,209
Female,45-49,2014,Sarawak,175
Female,45-49,2014,Selangor,410
Female,45-49,2014,Terengganu,122
Female,45-49,2014,W.P. Kuala Lumpur,99
Female,85 +,2018,Penang,994
Female,45-49,2014,W.P. Putrajaya,3
Female,50-54,2014,Johor,406
Female,50-54,2014,Kedah,314
Female,50-54,2014,Kelantan,214
Female,50-54,2014,Melaka,96
Female,50-54,2014,Negeri Sembilan,154
Male,Under 1 year,2018,Penang,73
Female,50-54,2014,Pahang,215
Female,50-54,2014,Perak,362
Female,50-54,2014,Perlis,40
Female,50-54,2014,Sabah,372
Female,50-54,2014,Sarawak,254
Female,50-54,2014,Selangor,571
Female,50-54,2014,Terengganu,168
Female,50-54,2014,W.P. Kuala Lumpur,162
Male,1-4,2018,Penang,3
Female,50-54,2014,W.P. Putrajaya,8
Female,55-59,2014,Johor,527
Female,55-59,2014,Kedah,414
Female,55-59,2014,Kelantan,313
Female,55-59,2014,Melaka,129
Female,55-59,2014,Negeri Sembilan,180
Male,1-4,2018,Penang,4
Female,55-59,2014,Pahang,239
Female,55-59,2014,Perak,488
Female,55-59,2014,Perlis,52
Female,55-59,2014,Sabah,325
Female,55-59,2014,Sarawak,311
Female,55-59,2014,Selangor,698
Female,55-59,2014,Terengganu,199
Female,55-59,2014,W.P. Kuala Lumpur,245
Male,1-4,2018,Penang,4
Female,55-59,2014,W.P. Putrajaya,6
Female,60-64,2014,Johor,672
Female,60-64,2014,Kedah,459
Female,60-64,2014,Kelantan,386
Female,60-64,2014,Melaka,169
Female,60-64,2014,Negeri Sembilan,261
Male,1-4,2018,Penang,3
Female,60-64,2014,Pahang,290
Female,60-64,2014,Perak,611
Female,60-64,2014,Perlis,56
Female,60-64,2014,Sabah,323
Female,60-64,2014,Sarawak,376
Female,60-64,2014,Selangor,874
Female,60-64,2014,Terengganu,234
Female,60-64,2014,W.P. Kuala Lumpur,293
Male,5-9,2018,Penang,10
Female,60-64,2014,W.P. Putrajaya,9
Female,65-69,2014,Johor,671
Female,65-69,2014,Kedah,520
Female,65-69,2014,Kelantan,446
Female,65-69,2014,Melaka,185
Female,65-69,2014,Negeri Sembilan,236
Male,10-14,2018,Penang,18
Female,65-69,2014,Pahang,327
Female,65-69,2014,Perak,724
Female,65-69,2014,Perlis,70
Female,65-69,2014,Sabah,453
Female,65-69,2014,Sarawak,526
Female,65-69,2014,Selangor,998
Female,65-69,2014,Terengganu,286
Female,65-69,2014,W.P. Kuala Lumpur,288
Male,15-19,2018,Penang,54
Female,65-69,2014,W.P. Putrajaya,8
Female,70-74,2014,Johor,790
Female,70-74,2014,Kedah,603
Female,70-74,2014,Kelantan,581
Female,70-74,2014,Melaka,225
Female,70-74,2014,Negeri Sembilan,285
Male,20-24,2018,Penang,83
Female,70-74,2014,Pahang,360
Female,70-74,2014,Perak,856
Female,70-74,2014,Perlis,92
Female,70-74,2014,Sabah,609
Female,70-74,2014,Sarawak,569
Female,70-74,2014,Selangor,986
Female,70-74,2014,Terengganu,342
Female,70-74,2014,W.P. Kuala Lumpur,329
Male,25-29,2018,Penang,82
Female,70-74,2014,W.P. Putrajaya,7
Female,75-79,2014,Johor,1029
Female,75-79,2014,Kedah,887
Female,75-79,2014,Kelantan,643
Female,75-79,2014,Melaka,306
Female,75-79,2014,Negeri Sembilan,448
Male,30-34,2018,Penang,103
Female,75-79,2014,Pahang,446
Female,75-79,2014,Perak,1167
Female,75-79,2014,Perlis,113
Female,75-79,2014,Sabah,610
Female,75-79,2014,Sarawak,629
Female,75-79,2014,Selangor,1233
Female,75-79,2014,Terengganu,471
Female,75-79,2014,W.P. Kuala Lumpur,433
Male,35-39,2018,Penang,152
Female,75-79,2014,W.P. Putrajaya,9
Female,80-84,2014,Johor,910
Female,80-84,2014,Kedah,706
Female,80-84,2014,Kelantan,481
Female,80-84,2014,Melaka,267
Female,80-84,2014,Negeri Sembilan,321
Male,40-44,2018,Penang,209
Female,80-84,2014,Pahang,339
Female,80-84,2014,Perak,1128
Female,80-84,2014,Perlis,115
Female,80-84,2014,Sabah,542
Female,80-84,2014,Sarawak,730
Female,80-84,2014,Selangor,1158
Female,80-84,2014,Terengganu,234
Female,80-84,2014,W.P. Kuala Lumpur,390
Male,45-49,2018,Penang,290
Female,80-84,2014,W.P. Putrajaya,4
Female,85 +,2014,Johor,1166
Female,85 +,2014,Kedah,918
Female,85 +,2014,Kelantan,838
Female,85 +,2014,Melaka,343
Female,85 +,2014,Negeri Sembilan,447
Male,50-54,2018,Penang,419
Female,85 +,2014,Pahang,413
Female,85 +,2014,Perak,1273
Female,85 +,2014,Perlis,139
Female,85 +,2014,Sabah,426
Female,85 +,2014,Sarawak,829
Female,85 +,2014,Selangor,1441
Female,85 +,2014,Terengganu,422
Female,85 +,2014,W.P. Kuala Lumpur,556
Male,55-59,2018,Penang,567
Female,85 +,2014,W.P. Putrajaya,6
Male,Under 1 year,2015,Johor,255
Male,Under 1 year,2015,Kedah,124
Male,Under 1 year,2015,Kelantan,151
Male,Under 1 year,2015,Melaka,41
Male,Under 1 year,2015,Negeri Sembilan,66
Male,60-64,2018,Penang,686
Male,Under 1 year,2015,Pahang,130
Male,Under 1 year,2015,Perak,132
Male,Under 1 year,2015,Perlis,15
Male,Under 1 year,2015,Sabah,320
Male,Under 1 year,2015,Sarawak,128
Male,Under 1 year,2015,Selangor,325
Male,Under 1 year,2015,Terengganu,119
Male,Under 1 year,2015,W.P. Kuala Lumpur,75
Male,65-69,2018,Penang,777
Male,Under 1 year,2015,W.P. Putrajaya,12
Male,1-4,2015,Johor,49
Male,1-4,2015,Kedah,27
Male,1-4,2015,Kelantan,34
Male,1-4,2015,Melaka,9
Male,1-4,2015,Negeri Sembilan,14
Male,70-74,2018,Penang,811
Male,1-4,2015,Pahang,29
Male,1-4,2015,Perak,31
Male,1-4,2015,Perlis,1
Male,1-4,2015,Sabah,78
Male,1-4,2015,Sarawak,35
Male,1-4,2015,Selangor,75
Male,1-4,2015,Terengganu,26
Male,1-4,2015,W.P. Kuala Lumpur,19
Male,75-79,2018,Penang,741
Male,1-4,2015,W.P. Putrajaya,2
Male,5-9,2015,Johor,37
Male,5-9,2015,Kedah,37
Male,5-9,2015,Kelantan,24
Male,5-9,2015,Melaka,10
Male,5-9,2015,Negeri Sembilan,10
Male,80-84,2018,Penang,645
Male,5-9,2015,Pahang,17
Male,5-9,2015,Perak,26
Male,5-9,2015,Perlis,3
Male,5-9,2015,Sabah,58
Male,5-9,2015,Sarawak,32
Male,5-9,2015,Selangor,64
Male,5-9,2015,Terengganu,22
Male,5-9,2015,W.P. Kuala Lumpur,7
Male,85 +,2018,Penang,537
Male,5-9,2015,W.P. Putrajaya,2
Male,10-14,2015,Johor,58
Male,10-14,2015,Kedah,38
Male,10-14,2015,Kelantan,47
Male,10-14,2015,Melaka,17
Male,10-14,2015,Negeri Sembilan,17
Female,Under 1 year,2017,Penang,54
Male,10-14,2015,Pahang,45
Male,10-14,2015,Perak,42
Male,10-14,2015,Perlis,5
Male,10-14,2015,Sabah,69
Male,10-14,2015,Sarawak,47
Male,10-14,2015,Selangor,79
Male,10-14,2015,Terengganu,32
Male,10-14,2015,W.P. Kuala Lumpur,11
Female,1-4,2017,Penang,3
Male,10-14,2015,W.P. Putrajaya,1
Male,15-19,2015,Johor,205
Male,15-19,2015,Kedah,144
Male,15-19,2015,Kelantan,132
Male,15-19,2015,Melaka,44
Male,15-19,2015,Negeri Sembilan,60
Female,1-4,2017,Penang,1
Male,15-19,2015,Pahang,114
Male,15-19,2015,Perak,131
Male,15-19,2015,Perlis,20
Male,15-19,2015,Sabah,100
Male,15-19,2015,Sarawak,80
Male,15-19,2015,Selangor,214
Male,15-19,2015,Terengganu,71
Male,15-19,2015,W.P. Kuala Lumpur,48
Female,1-4,2017,Penang,2
Male,15-19,2015,W.P. Putrajaya,2
Male,20-24,2015,Johor,229
Male,20-24,2015,Kedah,144
Male,20-24,2015,Kelantan,142
Male,20-24,2015,Melaka,63
Male,20-24,2015,Negeri Sembilan,95
Female,1-4,2017,Penang,2
Male,20-24,2015,Pahang,122
Male,20-24,2015,Perak,151
Male,20-24,2015,Perlis,8
Male,20-24,2015,Sabah,138
Male,20-24,2015,Sarawak,131
Male,20-24,2015,Selangor,261
Male,20-24,2015,Terengganu,101
Male,20-24,2015,W.P. Kuala Lumpur,63
Female,5-9,2017,Penang,10
Male,20-24,2015,W.P. Putrajaya,3
Male,25-29,2015,Johor,180
Male,25-29,2015,Kedah,141
Male,25-29,2015,Kelantan,112
Male,25-29,2015,Melaka,55
Male,25-29,2015,Negeri Sembilan,66
Female,10-14,2017,Penang,5
Male,25-29,2015,Pahang,108
Male,25-29,2015,Perak,166
Male,25-29,2015,Perlis,22
Male,25-29,2015,Sabah,199
Male,25-29,2015,Sarawak,121
Male,25-29,2015,Selangor,281
Male,25-29,2015,Terengganu,88
Male,25-29,2015,W.P. Kuala Lumpur,88
Female,15-19,2017,Penang,23
Male,25-29,2015,W.P. Putrajaya,2
Male,30-34,2015,Johor,271
Male,30-34,2015,Kedah,202
Male,30-34,2015,Kelantan,127
Male,30-34,2015,Melaka,55
Male,30-34,2015,Negeri Sembilan,108
Female,20-24,2017,Penang,20
Male,30-34,2015,Pahang,139
Male,30-34,2015,Perak,227
Male,30-34,2015,Perlis,21
Male,30-34,2015,Sabah,245
Male,30-34,2015,Sarawak,150
Male,30-34,2015,Selangor,343
Male,30-34,2015,Terengganu,121
Male,30-34,2015,W.P. Kuala Lumpur,90
Female,25-29,2017,Penang,27
Male,30-34,2015,W.P. Putrajaya,5
Male,35-39,2015,Johor,352
Male,35-39,2015,Kedah,232
Male,35-39,2015,Kelantan,183
Male,35-39,2015,Melaka,74
Male,35-39,2015,Negeri Sembilan,146
Female,30-34,2017,Penang,47
Male,35-39,2015,Pahang,186
Male,35-39,2015,Perak,236
Male,35-39,2015,Perlis,26
Male,35-39,2015,Sabah,248
Male,35-39,2015,Sarawak,200
Male,35-39,2015,Selangor,452
Male,35-39,2015,Terengganu,144
Male,35-39,2015,W.P. Kuala Lumpur,127
Female,35-39,2017,Penang,58
Male,35-39,2015,W.P. Putrajaya,4
Male,40-44,2015,Johor,453
Male,40-44,2015,Kedah,304
Male,40-44,2015,Kelantan,242
Male,40-44,2015,Melaka,90
Male,40-44,2015,Negeri Sembilan,132
Female,40-44,2017,Penang,82
Male,40-44,2015,Pahang,214
Male,40-44,2015,Perak,334
Male,40-44,2015,Perlis,26
Male,40-44,2015,Sabah,303
Male,40-44,2015,Sarawak,261
Male,40-44,2015,Selangor,596
Male,40-44,2015,Terengganu,147
Male,40-44,2015,W.P. Kuala Lumpur,158
Female,45-49,2017,Penang,166
Male,40-44,2015,W.P. Putrajaya,2
Male,45-49,2015,Johor,581
Male,45-49,2015,Kedah,389
Male,45-49,2015,Kelantan,315
Male,45-49,2015,Melaka,121
Male,45-49,2015,Negeri Sembilan,220
Female,50-54,2017,Penang,208
Male,45-49,2015,Pahang,235
Male,45-49,2015,Perak,474
Male,45-49,2015,Perlis,45
Male,45-49,2015,Sabah,434
Male,45-49,2015,Sarawak,387
Male,45-49,2015,Selangor,799
Male,45-49,2015,Terengganu,202
Male,45-49,2015,W.P. Kuala Lumpur,239
Female,55-59,2017,Penang,328
Male,45-49,2015,W.P. Putrajaya,9
Male,50-54,2015,Johor,885
Male,50-54,2015,Kedah,566
Male,50-54,2015,Kelantan,416
Male,50-54,2015,Melaka,243
Male,50-54,2015,Negeri Sembilan,286
Female,60-64,2017,Penang,422
Male,50-54,2015,Pahang,348
Male,50-54,2015,Perak,681
Male,50-54,2015,Perlis,51
Male,50-54,2015,Sabah,607
Male,50-54,2015,Sarawak,460
Male,50-54,2015,Selangor,1142
Male,50-54,2015,Terengganu,270
Male,50-54,2015,W.P. Kuala Lumpur,334
Female,65-69,2017,Penang,450
Male,50-54,2015,W.P. Putrajaya,12
Male,55-59,2015,Johor,1079
Male,55-59,2015,Kedah,712
Male,55-59,2015,Kelantan,518
Male,55-59,2015,Melaka,253
Male,55-59,2015,Negeri Sembilan,388
Female,70-74,2017,Penang,578
Male,55-59,2015,Pahang,432
Male,55-59,2015,Perak,879
Male,55-59,2015,Perlis,84
Male,55-59,2015,Sabah,692
Male,55-59,2015,Sarawak,537
Male,55-59,2015,Selangor,1386
Male,55-59,2015,Terengganu,354
Male,55-59,2015,W.P. Kuala Lumpur,456
Female,75-79,2017,Penang,623
Male,55-59,2015,W.P. Putrajaya,10
Male,60-64,2015,Johor,1144
Male,60-64,2015,Kedah,800
Male,60-64,2015,Kelantan,613
Male,60-64,2015,Melaka,267
Male,60-64,2015,Negeri Sembilan,432
Female,80-84,2017,Penang,677
Male,60-64,2015,Pahang,550
Male,60-64,2015,Perak,1056
Male,60-64,2015,Perlis,96
Male,60-64,2015,Sabah,592
Male,60-64,2015,Sarawak,674
Male,60-64,2015,Selangor,1436
Male,60-64,2015,Terengganu,375
Male,60-64,2015,W.P. Kuala Lumpur,480
Female,85 +,2017,Penang,957
Male,60-64,2015,W.P. Putrajaya,4
Male,65-69,2015,Johor,1261
Male,65-69,2015,Kedah,854
Male,65-69,2015,Kelantan,773
Male,65-69,2015,Melaka,342
Male,65-69,2015,Negeri Sembilan,441
Male,Under 1 year,2017,Penang,71
Male,65-69,2015,Pahang,621
Male,65-69,2015,Perak,1214
Male,65-69,2015,Perlis,125
Male,65-69,2015,Sabah,679
Male,65-69,2015,Sarawak,717
Male,65-69,2015,Selangor,1633
Male,65-69,2015,Terengganu,419
Male,65-69,2015,W.P. Kuala Lumpur,528
Male,1-4,2017,Penang,4
Male,65-69,2015,W.P. Putrajaya,9
Male,70-74,2015,Johor,1085
Male,70-74,2015,Kedah,833
Male,70-74,2015,Kelantan,718
Male,70-74,2015,Melaka,298
Male,70-74,2015,Negeri Sembilan,346
Male,1-4,2017,Penang,3
Male,70-74,2015,Pahang,588
Male,70-74,2015,Perak,1069
Male,70-74,2015,Perlis,113
Male,70-74,2015,Sabah,824
Male,70-74,2015,Sarawak,849
Male,70-74,2015,Selangor,1369
Male,70-74,2015,Terengganu,444
Male,70-74,2015,W.P. Kuala Lumpur,435
Male,1-4,2017,Penang,5
Male,70-74,2015,W.P. Putrajaya,4
Male,75-79,2015,Johor,1285
Male,75-79,2015,Kedah,985
Male,75-79,2015,Kelantan,626
Male,75-79,2015,Melaka,348
Male,75-79,2015,Negeri Sembilan,415
Male,1-4,2017,Penang,5
Male,75-79,2015,Pahang,618
Male,75-79,2015,Perak,1190
Male,75-79,2015,Perlis,127
Male,75-79,2015,Sabah,764
Male,75-79,2015,Sarawak,744
Male,75-79,2015,Selangor,1399
Male,75-79,2015,Terengganu,432
Male,75-79,2015,W.P. Kuala Lumpur,522
